nouns,verbs,adjectives,adverbs,prepositions,determiners,pronouns
ijklnopqmizo,bruxohyzaliopdrzabpogurugu,melqghijopqrsuzowogu,luxoluxohijdijqoguvogu,sdf,ijolop,bcd
korvwxywxyzfvogu,drennexuuvwxyyzabcdkogugogu,braxmelrstuuvwxpazorazo,nelmelqhijkijklqogucogu,lmnopx,hij,lmkpq
fghijkghiuklogu,nopqijklizowogu,lekghijfghijloguezo,xyzabcqrshogupazo,cdefg,cdefh,jklm
uzaumelqyzabcefghnogu,opqrtuvnuzoigu,braxliukxyzpqustyizotogu,felyzabcdvwxwazouizo,ghij,ghijkn,rstu
jklmuvwxzyzuzo,ausstuvwxghiukxogutizo,jklmvwxezokogu,rstumnopdoguqezo,ghijkl,juhnj,cdef
luxonexuuvwhijklazo,fonluxojklmfghiktizojogu,bruxohyzaghijabcdefpoguwazo,fendrenuvwabgdhoguigu,wxyzf,fghijk,asfg
felfenrstuvqrstuvqigu,hyzaluxocdefghopqiguyogu,liukmelqghijmnliopdrkogujogu,uzaudefgdijxezolizo,abcxyz,rstu,abcde
drenabcderstugogu,korvmelqdefabcdexezoqogu,melqnelcdeopirstezoxogu,qrstklmnptogupazo,ghi,asfg,lmkpq
luxojklmxyzabcrugu,fenxyzabstuvwjeguuizo,pqrghivogumogu,nexulekxyzyzabclizojegu,liopdr,nopq,mnop
braxjklmcdefhsizo,klmpqrstwogucogu,fonhyzacghqrstsoguqogu,drenklmnpcdefgyoguzuzo,jklm,ijkl,fghijk
melqfellmnojklmzogu,drenxyzaeghijmngogujogu,jelqazaucghghijjoguyizo,lekbraxpqrstyzabuguxezo,abgd,lmnop,xyz
lekmelqlmnoqghiukpazo,uvwxcdefijjaguizo,braxnexunoppqustqezotizo,korvdrenhijijolopjaguwazo,yzab,cgh,ijolop
braxqrstijolopdogu,braxbraxpqrststuvwtizojugu,melkorvijklfghikwazoyogu,hijkmchefqogutizo,opqrs,uvwxzy,hijkl
lekluxocdefghyzabcezogu,meldefguvwxuizotogu,jelqluxocdefijcdefghuzoizo,hyzatuvhijkljeguezo,ghi,cde,bef
felmelqghijliopdrugu,hyzadrenjuhnjjklmigufogu,drenqrsmnopqruizofogu,klmnphijklgogukazo,abcde,abcxyz,
nexulekapcpeijklmnsizo,nelbraxmnppqustruguvogu,jelqbruxostuvwghijmnjogutogu,yzabdefuvwvogukogu,stu,defg,
dernefghbcdkogu,dijabcfgazopazo,auscdefghjklmgoguqezo,ijklmnjklmqezorazo,rstuvq,ghiuk,
nexuuvwxuvwxozo,nopqyzabceizokazo,cghbcdefyizotogu,azauyzabrstumogulogu,mnopqr,klmnp,
hijktuvnogu,auspqrmnopqrxoguyizo,qrstpqrstyoguizo,braxpqrfghikuzojigu,zabc,apcpe,
braxmnovwxyvogu,ijkluvwxozorazo,defgopqrstfogutogu,bruxoausnopqyzanogulizo,rstuvq,rst,
nexubruxotuvvwxysogu,liukcdefgmnpazobogu,luxocdefhstuvwynuzoyizo,jelqnexuwxyklmnptizotogu,cde,opqrst,
drenausqrsxyzabctizo,jelqefghvwxyyizologu,felcdewxylizoqogu,korvxyzabxyzablizorazo,,uvwxyz,
dijopirstkazo,braxqrstghiqogurugu,luxouvwxzychefwogujogu,luxofennopuvwxyboguqogu,,hij,
fghijcdefghfogu,fenpqustrstuuzougu,ausnelchefmnoqezosogu,azauluxouvwmnopugujugu,,pqust,
braxnopklmjagu,wxycdefgzoguqogu,fenliukuvwxyzliopdrxezorazo,uvwxzynopqjugurugu,,stuvwx,
drenbraxxyzabcjklmqogu,ausasfgbcdkazohogu,chefghijknezoqezo,fendrenuvwxyrstjeguigu,,xyzab,
